Geolocation,Major Occupation,year,quarter,Female,Male
REGION VI,Elementary Occupations,2021,Q3,345.644,815.2376666666668
REGION VI,Elementary Occupations,2018,Q1,343.071,719.725
REGION III,Elementary Occupations,2019,Q2,342.329,851.005
REGION VI,Service and Sales Workers,2019,Q4,338.898,213.452
PHILIPPINES,Plant and Machine Operators and Assemblers,2020,Q1,338.64,3109.842
PHILIPPINES,Craft and Related Trades Workers,2020,Q2,338.046,1829.196
REGION III,Elementary Occupations,2020,Q4,337.079,930.883
REGION IVA,Professionals,2021,Q2,336.95166666666665,150.76733333333334
PHILIPPINES,Plant and Machine Operators and Assemblers,2020,Q3,334.601,2964.335
REGION IVA,Clerical Support Workers,2020,Q1,333.791,203.718
NCR,Elementary Occupations,2019,Q2,333.791,549.533
REGION VI,Service and Sales Workers,2020,Q4,333.655,200.796
REGION IVA,Managers,2019,Q1,331.695,321.332
REGION VI,Service and Sales Workers,2019,Q1,331.679,240.955
REGION III,Elementary Occupations,2019,Q4,330.553,892.18
REGION IVA,Clerical Support Workers,2019,Q4,328.107,221.122
REGION VI,Elementary Occupations,2018,Q2,327.471,769.811
PHILIPPINES,Plant and Machine Operators and Assemblers,2019,Q3,327.183,2809.646
REGION VII,Service and Sales Workers,2019,Q3,326.586,246.172
REGION III,Elementary Occupations,2018,Q3,324.994,873.909
NCR,Elementary Occupations,2020,Q1,322.949,620.063
REGION VI,Service and Sales Workers,2020,Q3,322.823,189.766
REGION X,Service and Sales Workers,2021,Q2,322.364,157.67733333333334
REGION VII,Elementary Occupations,2021,Q2,320.4546666666667,519.3053333333334
REGION V,Service and Sales Workers,2020,Q1,319.516,183.524
REGION I,Service and Sales Workers,2021,Q4,317.8856666666666,192.227
REGION IVA,Clerical Support Workers,2020,Q4,317.818,220.308
NCR,Managers,2021,Q3,317.34,255.81133333333332
REGION VI,Elementary Occupations,2019,Q1,317.055,658.728
PHILIPPINES,Plant and Machine Operators and Assemblers,2020,Q2,316.932,2303.875
REGION VI,Elementary Occupations,2019,Q3,316.428,647.724
REGION XII,Elementary Occupations,2021,Q2,316.42233333333337,477.44699999999995
REGION VII,Elementary Occupations,2021,Q4,316.26466666666664,453.56299999999993
REGION V,Service and Sales Workers,2019,Q3,316.043,184.667
REGION VI,Service and Sales Workers,2021,Q4,314.9836666666667,218.05933333333334
REGION VI,Elementary Occupations,2019,Q4,314.893,690.445
REGION VII,Service and Sales Workers,2018,Q4,313.28,213.445
REGION VII,Service and Sales Workers,2020,Q4,312.366,228.766
REGION XI,Service and Sales Workers,2021,Q4,312.3106666666667,162.3083333333333
REGION X,Service and Sales Workers,2020,Q1,311.713,150.997
PHILIPPINES,Plant and Machine Operators and Assemblers,2019,Q2,310.789,3134.693
REGION X,Elementary Occupations,2020,Q3,308.9,496.339
PHILIPPINES,Craft and Related Trades Workers,2021,Q1,307.741,2597.5153333333333
REGION IVA,Professionals,2019,Q4,306.674,189.779
REGION XI,Service and Sales Workers,2021,Q2,306.38466666666665,163.311
REGION VI,Service and Sales Workers,2019,Q2,305.701,231.006
NCR,Elementary Occupations,2020,Q3,303.557,529.232
REGION IVA,Clerical Support Workers,2019,Q2,301.284,205.797
REGION V,Service and Sales Workers,2019,Q2,301.07,153.119
REGION XII,Elementary Occupations,2021,Q4,300.9886666666667,460.75199999999995
REGION IVA,Clerical Support Workers,2018,Q2,300.221,159.547
REGION IVA,Clerical Support Workers,2019,Q1,299.894,197.214
NCR,Elementary Occupations,2021,Q1,299.8143333333333,572.6133333333333
REGION VI,Service and Sales Workers,2018,Q3,298.808,244.453
REGION X,Service and Sales Workers,2019,Q3,297.398,155.009
REGION X,Service and Sales Workers,2021,Q3,297.0416666666667,148.40466666666666
REGION IVA,Professionals,2021,Q4,295.6553333333333,167.20566666666664
REGION V,Service and Sales Workers,2019,Q4,294.479,169.109
NCR,Professionals,2021,Q4,294.27733333333333,206.71566666666664
REGION IVA,Managers,2019,Q2,294.123,263.261
NCR,Managers,2020,Q2,293.795,282.682
REGION V,Service and Sales Workers,2021,Q2,293.742,162.34666666666666
REGION VII,Service and Sales Workers,2020,Q3,293.212,211.087
PHILIPPINES,Plant and Machine Operators and Assemblers,2018,Q4,291.953,2348.531
NCR,Managers,2021,Q4,291.94,239.49866666666665
REGION XII,Service and Sales Workers,2021,Q2,290.76933333333335,155.12533333333332
PHILIPPINES,Plant and Machine Operators and Assemblers,2018,Q3,290.58,2347.65
REGION VI,Managers,2018,Q1,290.031,279.006
REGION VI,Service and Sales Workers,2021,Q1,288.82733333333334,268.031
REGION IVA,Clerical Support Workers,2019,Q3,288.57,200.095
REGION X,Elementary Occupations,2021,Q3,288.375,499.97333333333336
REGION IVA,Clerical Support Workers,2018,Q1,287.605,152.744
REGION X,Service and Sales Workers,2021,Q4,287.36100000000005,153.33066666666667
REGION X,Elementary Occupations,2019,Q4,287.262,459.503
REGION IVA,Clerical Support Workers,2018,Q3,285.888,173.819
REGION VII,Elementary Occupations,2020,Q3,285.616,378.358
REGION VI,Elementary Occupations,2021,Q4,284.4123333333334,789.6856666666666
REGION VII,Elementary Occupations,2021,Q3,283.87,458.2916666666667
REGION VI,Managers,2018,Q2,282.974,201.863
REGION VI,Elementary Occupations,2020,Q1,282.233,667.379
REGION VII,Elementary Occupations,2018,Q4,281.969,469.999
REGION VI,Service and Sales Workers,2020,Q2,280.78,201.861
REGION VII,Elementary Occupations,2018,Q3,279.447,452.828
NCR,Managers,2021,Q1,278.18066666666664,301.81533333333334
PHILIPPINES,Plant and Machine Operators and Assemblers,2018,Q1,277.367,2378.154
REGION XI,Service and Sales Workers,2019,Q3,276.505,137.007
REGION XI,Service and Sales Workers,2021,Q3,276.478,157.00933333333333
REGION I,Elementary Occupations,2021,Q2,276.40366666666665,422.17533333333336
REGION XI,Service and Sales Workers,2020,Q4,276.059,158.917
REGION III,Elementary Occupations,2020,Q2,276.008,566.612
NCR,Clerical Support Workers,2021,Q1,275.8396666666667,311.9723333333333
REGION XI,Service and Sales Workers,2020,Q3,274.902,135.985
REGION XI,Service and Sales Workers,2020,Q1,273.195,156.435
REGION IVA,Clerical Support Workers,2020,Q3,272.882,142.266
